"","date","poc","poc_umol","poc_umol_kg"
"1",2015-01-06,38.59728633,655.369848660048,0.641941445987528
"2",2015-01-13,93.99110127,1595.93949916715,1.5634428726473
"3",2015-01-28,71.58884142,1215.55613433649,1.19014671335636
"4",2015-02-03,220.2676029,3740.0749975804,3.66269518261785
"5",2015-02-11,30.26831575,513.94653351196,0.503562410536856
"6",2015-03-18,221.809707600691,3766.25945302809,3.6878598241594
"7",2015-03-24,108.062241551211,1834.86305969228,1.79622672891527
"8",2015-03-31,111.096148536317,1886.37785129389,1.8469398084999
"9",2015-04-22,340.717658112801,5785.27925834086,5.66565595222062
"10",2015-05-01,310.229644259376,5267.60231975427,5.15809382429849
"11",2015-05-05,285.013692282529,4839.44334273208,4.73901477235592
"12",2015-05-13,155.882389706356,2646.83421723397,2.59311993454446
"13",2015-05-21,226.991263038979,3854.24064358073,3.77787904683402
"14",2015-05-26,213.929888584082,3632.46259093186,3.56335425425374
"15",2015-06-15,186.674143474764,3169.6685645672,3.10222152514845
"16",2015-06-24,32.6107994242457,553.721173572232,0.543479458127437
"17",2015-06-30,170.512714889879,2895.25256248744,2.83775055832363
"18",2015-07-07,103.390880341201,1755.54480754715,1.71983668654857
"19",2015-07-22,255.166239172191,4332.64292519584,4.24677224079034
"20",2015-07-28,227.494659162143,3862.78815228985,3.7861684751545
"21",2015-08-12,210.545738877862,3575.00078748159,3.5043573349897
"22",2015-08-20,165.102573797605,2803.39005903167,2.74491900122401
"23",2015-08-25,331.062044666716,5621.32996230027,5.50208750410932
"24",2015-09-02,189.425652776214,3216.38833183426,3.15133282465317
"25",2015-09-09,224.464141840483,3811.33091611326,3.73747982005136
"26",2015-09-15,176.246811269478,2992.61572538884,2.92940575386539
"27",2015-09-22,152.077491126568,2582.22822952068,2.52822314875345
"28",2015-09-28,253.776661897271,4309.04833772718,4.21777368693906
"29",2015-10-06,436.94469266664,7419.18420526812,7.26638983280264
"30",2015-10-14,182.032503155967,3090.85496385818,3.02592712641274
"31",2015-10-20,182.854968338468,3104.8201653901,3.04136735299248
"32",2015-10-27,209.648065328758,3559.75857140991,3.48595178124729
"33",2015-11-03,187.805220535176,3188.87389925232,3.12054469315634
"34",2015-11-10,139.052709988469,2361.07151994466,2.31071848014629
"35",2015-11-18,151.167358915265,2566.77446926193,2.51092500490455
"36",2015-11-25,160.819238455019,2730.66036474098,2.67113593122842
"37",2015-12-11,116.049866452705,1970.49043199219,1.92711024018084
"38",2015-12-16,141.092606816394,2395.70833000352,2.34438703366041
"39",2016-01-05,119.373845101074,2026.93054970165,1.98268699074254
"40",2016-01-13,131.685027588009,2235.97057739442,2.18731004234675
"41",2016-01-19,199.091395296761,3380.50961639085,3.30579109940831
"42",2016-01-28,167.612737759813,2846.01185793118,2.78396628410327
"43",2016-02-02,200.704518993111,3407.89995217011,3.33526072318594
"44",2016-02-09,159.904803833155,2715.1335508967,2.65789529111338
"45",2016-02-16,167.754014823669,2848.41069828402,2.7892954499081
"46",2016-02-23,185.561748349252,3150.78044329297,3.08595356875328
"47",2016-03-15,151.635027186252,2574.71533021675,2.52238437800783
"48",2016-03-22,283.024520181174,4805.66782266371,4.70825368868303
"49",2016-03-29,260.00008007754,4414.7200317442,4.32289749999351
"50",2016-04-04,381.127611648932,6471.42762915908,6.33978806752205
"51",2016-04-08,464.222937769052,7882.36027447753,7.72231459703229
"52",2016-04-14,650.110137554709,11038.6667813595,10.8108517747547
"53",2016-04-28,666.843785139028,11322.7988830597,11.0934007629639
"54",2016-05-09,821.486525195154,13948.5842369949,13.6484066941452
"55",2016-05-19,587.3634128975,9973.24702384287,9.77467893374906
"56",2016-05-30,440.122646527618,7473.1448677642,7.32832655408058
"57",2016-06-09,490.150662002105,8322.60492176787,8.16253766986912
"58",2016-06-20,395.909559044574,6722.42047214693,6.60103998124023
"59",2016-06-30,359.221702301455,6099.47214060293,5.97866231257546
"60",2016-07-11,530.311808227046,9004.52862226896,8.84024550072799
"61",2016-07-21,377.412126539874,6408.33985421027,6.29030941014875
"62",2016-08-01,160.829748753939,2730.83882632903,2.67251638401145
"63",2016-08-11,307.43584636135,5220.16450534521,5.11736969134436
"64",2016-08-22,676.036358577909,11478.8859046168,11.2368283425419
"65",2016-09-01,235.288505642448,3995.12522761182,3.91346806652261
"66",2016-09-11,290.458357656691,4931.89205769513,4.83375936883856
"67",2016-09-22,374.966642585434,6366.81630161076,6.23475136145169
"68",2016-10-02,304.628691782144,5172.49989866767,5.06442131409282
"69",2016-10-12,392.235153734907,6660.03021934202,6.51995795704422
"70",2016-10-22,109.900228859693,1866.07150926824,1.82595997052357
"71",2016-11-09,150.582322073015,2556.84072667993,2.50344163093428
"72",2016-11-26,124.19661063838,2108.81959996502,2.06795813249938
"73",2016-12-03,113.302653604972,1923.84361716531,1.88591462418065
"74",2016-12-15,125.896892744299,2137.68985827563,2.09367796322191
"75",2017-01-08,137.452908814123,2333.90739642175,2.28402907037911
"76",2017-01-15,113.141274911128,1921.10345742306,1.87966599055139
"77",2017-01-26,159.560906615365,2709.2942837096,2.65075743527322
"78",2017-02-17,147.273881426499,2500.66443938165,2.44656823589005
"79",2017-02-25,147.723105198968,2508.29211852107,2.45389529087393
"80",2017-03-15,522.477094594265,8871.49763548118,8.68199852069232
"81",2017-04-07,303.002028932493,5144.87967230041,5.0347027966312
"82",2017-04-11,195.947506461592,3327.12736737747,3.25535787085115
"83",2017-04-20,550.872852803308,9353.64872768331,9.15880839916691
"84",2017-04-24,503.793895493378,8554.26275884901,8.37739241164416
